,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
143,4/27/2018 17:49,MDT,4/27/2018 18:23,MDT,0:34:01,0:33:56,17.98,7.552,2.256,DC Fast,1B,Combo,158787,,Plug Out at Station,1524872955,50%,78%
144,4/27/2018 17:03,MDT,4/27/2018 17:33,MDT,0:30:25,0:29:36,21.334,8.96,2.677,DC Fast,1B,Combo,158787,,Outlet Offline,1524870198,16%,50%
145,4/27/2018 16:18,MDT,4/27/2018 16:59,MDT,0:41:41,0:41:19,29.03,12.193,3.643,DC Fast,1B,Combo,158787,,Plug Out at Station,1524867489,19%,65%
146,4/27/2018 16:15,MDT,4/27/2018 16:18,MDT,0:02:10,0:00:00,0,0,0,DC Fast,1B,Combo,158787,,Plug Out at Station,1524867347,0%,0%
147,4/25/2018 19:27,MDT,4/25/2018 20:46,MDT,1:18:20,1:17:56,44.613,18.737,5.599,DC Fast,1B,Combo,158787,,Plug Out at Station,48,15%,85%
148,4/25/2018 16:21,MDT,4/25/2018 17:31,MDT,1:10:20,1:09:35,41.395,17.386,5.195,DC Fast,1B,Combo,158787,,Plug Out at Station,1524694881,18%,82%
149,4/24/2018 16:51,MDT,4/24/2018 18:23,MDT,1:31:53,1:31:23,48.501,20.37,6.087,DC Fast,1B,Combo,158787,,Plug Out at Station,47,16%,90%
150,4/16/2018 1:01,MDT,4/16/2018 7:25,MDT,6:23:31,6:23:15,31.039,13.036,3.895,DC Fast,1A,CHAdeMO,158787,,Plug Out at Station,46,12%,100%
151,4/7/2018 13:54,MDT,4/7/2018 13:56,MDT,0:02:00,0:00:00,0,0,0,,0,,158787,,Timeout,1523130837,,0%
152,4/7/2018 12:16,MDT,4/7/2018 13:15,MDT,0:58:54,0:58:43,35.698,14.993,4.48,DC Fast,1B,Combo,158787,,Customer,44,25%,81%
153,4/5/2018 20:56,MDT,4/5/2018 21:56,MDT,1:00:05,0:58:59,35.661,14.978,4.475,DC Fast,1B,Combo,158787,,Outlet Offline,43,24%,80%
